budget,seats,body_type,priority,car_price,family_score,performance_score,city_score,luxury_score,offroad_score,safety_score,efficiency_score,chosen
4764774,7,SUV,family,14200000,10,10,0,10,10,10,0,0
3020956,5,Sedan,safety,7000000,10,10,8,10,0,10,10,0
3152692,4,SUV,luxury,1750000,4,6,0,2,6,1,3,0
4824210,6,SUV,luxury,28500000,10,10,0,10,10,10,0,0
1610077,7,Coupe,efficiency,21000000,10,10,0,10,0,10,0,0
1974640,6,Sedan,city,18500000,10,10,0,10,0,10,0,0
2201479,5,SUV,safety,10500000,7,8,0,8,10,10,0,0
4776335,7,SUV,offroad,10200000,10,10,0,10,6,10,0,0
4953317,5,Sedan,luxury,6300000,10,10,0,10,0,10,9,0
1627985,7,SUV,family,14000000,10,10,0,10,10,10,0,0
3325140,6,Coupe,luxury,7700000,7,8,0,8,0,10,0,0
535430,5,Hatchback,city,4400000,3,8,3,4,0,9,3,0
1678858,4,Sedan,safety,5500000,7,8,0,8,0,10,0,0
4107387,7,SUV,offroad,14000000,10,10,0,10,10,10,0,0
4526785,6,SUV,city,1120000,10,10,0,10,6,10,10,0
855231,7,Hatchback,luxury,685000,10,10,10,10,0,10,10,0
1102750,5,SUV,offroad,5600000,7,8,0,6,6,10,0,0
877241,5,Sedan,safety,4950000,10,10,0,10,0,10,9,0
3868742,6,SUV,offroad,27500000,7,8,0,8,10,10,0,0
970048,5,SUV,efficiency,1020000,10,10,0,10,6,10,10,0
1170656,6,SUV,efficiency,6900000,7,8,0,8,6,10,0,0
3430591,7,SUV,performance,5050000,10,10,0,10,6,10,8,0
4436929,4,Hatchback,family,4600000,3,8,3,4,0,9,3,0
1004002,6,SUV,performance,1035000,6,10,3,6,2,8,10,0
1114774,7,SUV,efficiency,2190000,7,8,0,6,6,9,0,0
4736883,6,SUV,luxury,10000000,10,10,0,10,10,10,0,0
1459964,5,SUV,safety,17500000,7,8,0,8,10,10,0,0
1347365,4,SUV,offroad,10500000,7,8,0,8,10,10,0,0
3443566,6,SUV,luxury,9200000,7,8,0,8,10,10,0,0
3958144,7,Sedan,efficiency,5500000,7,8,0,8,0,10,0,0
4919327,7,SUV,safety,810000,10,10,3,10,6,10,10,0
3454270,7,Hatchback,city,850000,10,6,6,10,0,10,5,0
1193683,5,SUV,performance,20000000,7,8,0,8,10,10,0,0
3789862,5,Pickup,performance,2850000,10,10,0,10,8,10,0,1
3765474,6,Off-Road SUV,family,1600000,5,6,3,8,8,4,0,0
2393984,5,Coupe,city,7700000,7,8,0,8,0,10,0,0
2089789,4,SUV,efficiency,6700000,10,10,0,10,10,10,0,0
1512428,5,SUV,family,1550000,10,10,0,10,10,10,3,0
493105,7,SUV,offroad,7000000,7,8,0,8,10,10,0,0
1138904,7,Sedan,performance,4100000,10,10,0,10,0,10,0,0
4803977,4,SUV,city,1200000,10,10,0,10,6,10,10,0
437807,5,Hatchback,city,695000,10,10,10,10,0,10,10,0
1515626,5,Compact Sedan,efficiency,750000,7,10,6,6,0,10,10,1
3712154,7,Sedan,family,4100000,10,10,0,10,0,10,0,0
4287972,7,Crossover,family,770000,10,10,10,10,4,10,10,0
4964973,4,Compact SUV,city,5600000,7,8,0,6,4,10,0,0
4550305,6,Compact SUV,safety,850000,10,10,10,10,4,10,10,0
2286505,5,SUV,family,4400000,7,8,0,8,6,10,0,0
1404981,5,Hatchback,safety,435000,7,0,10,8,4,10,10,1
2551955,7,Compact Sedan,offroad,750000,7,10,6,6,0,10,10,0
3581249,4,SUV,safety,7400000,10,10,0,10,10,10,6,0
1370324,6,Sedan,city,5100000,7,8,4,8,0,10,5,0
2098399,4,Sedan,city,21500000,7,8,0,8,4,10,0,0
3929528,4,Crossover,performance,770000,10,10,10,10,4,10,10,1
1802505,5,SUV,city,24000000,7,8,0,8,10,10,0,0
4422070,5,SUV,city,1120000,10,10,0,10,6,10,10,0
4043944,7,Hatchback,safety,630000,9,10,6,10,4,8,10,0
608203,4,SUV,city,3800000,10,10,0,10,6,10,0,0
3916017,6,Hatchback,luxury,5600000,3,6,3,4,0,9,0,0
1106263,6,SUV,family,1750000,10,10,0,10,6,10,0,0
1293928,7,SUV,efficiency,4300000,7,8,0,8,10,10,0,0
4449421,5,SUV,offroad,6900000,7,8,0,8,6,10,0,0
4904292,6,SUV,offroad,1450000,10,10,0,10,6,10,10,0
3082984,4,Compact SUV,efficiency,1180000,5,0,6,6,0,5,0,0
3909683,6,Compact SUV,performance,875000,10,10,10,10,4,10,10,0
1020624,6,Off-Road SUV,city,19500000,7,8,0,8,8,10,0,0
667842,4,Micro SUV,performance,630000,10,10,10,10,4,10,10,1
4935522,5,SUV,efficiency,10500000,10,10,0,10,10,10,0,0
1613593,5,SUV,safety,14000000,10,10,0,10,10,10,5,0
4745918,6,SUV,city,820000,10,10,3,10,6,10,10,0
2377666,5,SUV,luxury,10800000,10,10,0,10,10,10,0,0
4929879,4,Sedan,family,5000000,10,10,0,10,0,10,6,0
1366524,6,Pickup,luxury,2850000,10,10,0,10,8,10,0,0
818080,5,MPV,offroad,2570000,10,10,10,10,4,10,10,0
2410726,7,SUV,performance,1200000,10,10,0,10,6,10,10,0
2945009,4,Sedan,luxury,4950000,6,8,0,4,0,9,0,0
753572,7,Sedan,efficiency,1250000,10,10,0,10,0,10,10,0
2994759,6,Hatchback,city,4600000,3,8,3,4,0,9,3,0
4007027,6,Hatchback,safety,4400000,3,8,3,4,0,9,3,0
2075212,4,Sedan,family,18000000,10,10,0,10,0,10,3,0
4377091,5,Hatchback,luxury,695000,10,10,10,10,0,10,10,1
2321719,7,SUV,safety,3500000,10,10,0,10,6,10,0,0
1469559,6,SUV,safety,1750000,10,10,0,10,6,10,0,0
2064549,6,Hatchback,safety,620000,10,10,10,10,0,10,10,0
1988663,4,Crossover,offroad,9500000,10,10,0,10,8,10,0,0
3415672,4,SUV,family,2150000,10,10,0,10,2,10,0,1
4921969,4,Sedan,offroad,6300000,10,10,0,10,0,10,9,0
3054894,5,SUV,luxury,7200000,10,10,0,10,10,10,9,0
4555419,7,SUV,efficiency,20000000,7,8,0,8,10,10,0,0
2835995,6,SUV,performance,7000000,7,8,0,8,10,10,0,0
3101710,6,SUV,offroad,820000,10,10,3,10,6,10,10,0
2417461,6,SUV,family,9200000,10,10,0,10,10,10,0,0
592604,7,Sedan,safety,8500000,7,8,0,8,0,10,0,0
1655660,7,SUV,safety,1450000,10,10,7,10,6,10,5,0
1900101,6,SUV,safety,1120000,10,10,0,10,6,10,10,0
1759080,4,Sedan,efficiency,4950000,10,10,0,10,0,10,9,0
1978828,6,Compact Sedan,efficiency,650000,9,10,10,10,0,10,10,0
2927763,7,Sedan,family,15000000,10,10,0,10,4,10,0,0
3816733,4,Hatchback,performance,560000,7,4,10,8,0,10,10,0
3988333,7,Pickup,efficiency,3550000,10,10,0,8,8,10,0,0
461937,7,SUV,city,1035000,6,10,3,6,2,8,10,0
4819726,6,SUV,performance,1950000,10,10,0,10,2,10,6,0
2525196,7,Compact SUV,performance,1180000,5,0,6,6,0,5,0,0
2610161,4,MPV,efficiency,2025000,10,10,10,10,4,10,10,1
3276398,7,Hatchback,efficiency,560000,7,4,10,8,0,10,10,0
2666374,5,SUV,city,10200000,10,10,0,10,10,10,6,0
1942154,7,Sedan,family,18500000,10,10,0,10,0,10,0,0
3463663,6,SUV,efficiency,8300000,7,8,0,8,10,10,0,0
2678844,7,SUV,efficiency,4300000,7,8,0,8,10,10,0,0
4229111,7,Pickup,family,2150000,6,6,0,2,4,9,0,0
3246666,5,Sedan,performance,17500000,10,10,0,10,0,10,0,0
4136386,5,Coupe,safety,18500000,8,10,0,10,4,10,0,0
1965222,5,Off-Road SUV,offroad,1600000,5,6,3,8,8,4,0,0
3952824,5,Sedan,family,970000,10,10,0,10,0,10,10,1
4150082,6,SUV,performance,7150000,7,8,0,8,10,10,0,0
2600320,4,Hatchback,efficiency,850000,10,6,6,10,0,10,5,0
831454,6,Sedan,performance,6400000,10,10,0,10,0,10,10,0
2953900,6,MPV,family,2025000,10,10,10,10,4,10,10,1
3549687,7,SUV,city,145000000,7,8,0,8,10,10,0,0
4795166,6,SUV,efficiency,1200000,10,10,0,10,6,10,10,0
641261,7,Coupe SUV,performance,1850000,10,10,0,10,4,10,0,0
4154563,6,Hatchback,performance,850000,10,6,6,10,0,10,5,0
3582074,7,Off-Road SUV,city,19500000,7,8,0,8,8,10,0,0
4932167,5,SUV,safety,7150000,7,8,0,8,10,10,0,0
1699231,7,SUV,city,820000,10,10,3,10,6,10,10,0
1802063,6,SUV,offroad,3500000,10,10,0,10,6,10,0,0
2377250,7,Coupe SUV,efficiency,11800000,10,10,0,10,8,10,0,0
2389476,5,SUV,performance,3500000,10,10,0,10,6,10,0,0
4109192,6,Compact SUV,luxury,7200000,7,8,0,8,8,10,0,0
1207980,6,SUV,luxury,1109000,10,10,0,10,6,10,10,0
1010803,4,Compact SUV,performance,850000,10,10,10,10,4,10,10,1
1427685,5,Sedan,efficiency,1149000,10,10,0,10,0,10,10,1
1131864,7,Sedan,city,970000,10,10,0,10,0,10,10,0
2150456,6,MPV,efficiency,2570000,10,10,10,10,4,10,10,0
2705828,4,SUV,family,6900000,7,8,0,8,6,10,0,0
3454360,7,Gran Turismo,performance,7850000,10,10,0,10,0,10,3,0
3987255,5,SUV,performance,5050000,10,10,0,10,6,10,8,0
1821898,7,Sedan,efficiency,6300000,10,10,0,10,0,10,9,0
2161970,4,Coupe SUV,efficiency,1850000,10,10,0,10,4,10,0,0
4584225,5,SUV,safety,1599000,10,10,0,10,6,10,10,1
785519,5,Off-Road SUV,family,19500000,7,8,0,8,8,10,0,0
3845288,6,SUV,safety,1300000,10,10,3,10,10,10,10,0
1150571,7,Coupe,safety,18500000,8,10,0,10,4,10,0,0
1565891,7,SUV,safety,1120000,10,10,0,10,6,10,10,0
2792955,7,Crossover,family,4750000,7,8,0,8,0,10,0,0
2277304,4,Sedan,offroad,19000000,10,10,0,10,0,10,0,0
4902147,7,SUV,offroad,7000000,10,10,0,10,10,10,0,0
1038301,6,Hatchback,family,5600000,3,6,3,4,0,9,0,0
1939341,5,SUV,safety,1400000,10,10,0,10,6,10,10,1
4312936,4,Sedan,city,1250000,10,10,0,10,0,10,10,0
3366546,6,SUV,safety,14000000,10,10,0,10,10,10,0,0
1221383,7,Sedan,efficiency,5500000,7,8,0,8,0,10,0,0
3581206,6,SUV,family,14000000,10,10,0,10,10,10,5,0
1818593,7,Sedan,family,22000000,7,8,0,8,0,10,3,0
3907098,7,SUV,performance,17800000,7,8,0,8,10,10,0,0
2646308,7,SUV,safety,1850000,10,10,0,10,6,10,10,1
2395956,6,SUV,offroad,10200000,10,10,0,10,6,10,0,0
4682924,4,SUV,efficiency,5950000,10,10,0,10,6,10,9,0
2738284,5,SUV,luxury,10000000,10,10,0,10,10,10,0,0
2691441,5,Coupe SUV,city,5600000,7,8,0,6,4,9,0,0
4947348,5,Hatchback,city,590000,9,10,10,10,0,10,10,1
3260768,5,SUV,performance,1750000,10,10,0,10,6,10,0,1
2507330,4,SUV,luxury,6200000,7,6,0,8,2,10,0,0
2232767,5,SUV,family,2150000,10,10,0,10,2,10,0,1
1205329,6,MPV,safety,545000,3,6,10,0,0,5,10,0
4352072,6,SUV,family,1750000,10,10,0,10,6,10,0,1
778049,6,SUV,performance,1400000,10,10,0,10,6,10,10,0
710527,5,Sedan,efficiency,7000000,10,10,8,10,0,10,10,0
4467469,4,SUV,luxury,1120000,10,10,0,10,6,10,10,1
3689598,4,Coupe SUV,family,6400000,7,8,0,6,4,10,0,0
1861445,7,Hatchback,family,660000,10,10,10,10,0,10,10,0
4596930,7,Sedan,city,4100000,10,10,0,10,0,10,0,0
3729940,4,Sedan,offroad,6300000,10,10,0,10,0,10,9,0
1262668,6,SUV,city,1950000,10,10,0,10,2,10,6,0
784048,6,Coupe SUV,safety,1100000,10,10,0,10,4,10,10,0
4782186,4,SUV,efficiency,5950000,10,10,0,10,6,10,9,0
1072087,5,SUV,offroad,5950000,10,10,0,10,6,10,9,0
3591937,7,Off-Road SUV,offroad,1600000,5,6,3,8,8,4,0,0
1947602,6,SUV,performance,1400000,3,6,0,0,6,1,3,0
2982554,6,Sedan,family,1250000,10,10,0,10,0,10,10,0
2205410,4,Off-Road SUV,family,1600000,5,6,3,8,8,4,0,0
1917727,7,SUV,city,1109000,10,10,0,10,6,10,10,0
2099934,4,MPV,luxury,2570000,10,10,10,10,4,10,10,0
2709659,5,Hatchback,city,410000,4,0,10,2,0,8,10,1
1005791,7,Off-Road SUV,safety,37500000,7,8,0,8,8,10,0,0
2603865,7,Crossover,luxury,6400000,10,10,0,10,0,10,0,0
2096117,5,Compact SUV,safety,1180000,5,0,6,6,0,5,0,0
2426828,7,Crossover,city,9500000,10,10,0,10,8,10,0,0
4956802,5,SUV,family,6700000,10,10,0,10,10,10,0,0
576903,7,MPV,safety,13500000,10,10,0,10,4,10,6,0
468411,5,MPV,city,3850000,10,10,0,10,4,10,6,0
709433,4,Pickup,safety,3550000,10,10,0,8,8,10,0,0
3093015,6,MPV,luxury,3100000,10,8,0,10,0,10,0,0
3074356,6,Coupe SUV,offroad,1100000,10,10,0,10,4,10,10,0
458144,4,SUV,performance,1020000,5,8,0,4,6,4,9,0
4279372,4,Hatchback,performance,630000,9,10,6,10,4,8,10,1
1113309,5,SUV,safety,32500000,4,8,0,8,10,10,0,0
1463647,6,Compact SUV,luxury,4850000,10,10,0,10,4,10,0,0
2809984,6,SUV,luxury,820000,10,10,3,10,6,10,10,0
1101160,5,Hatchback,offroad,5600000,3,6,3,4,0,9,0,0
1130686,5,SUV,offroad,10500000,7,8,0,8,10,10,0,0
2405471,6,Hatchback,safety,725000,10,10,10,10,0,10,10,0
1838390,4,Sedan,luxury,18000000,10,10,0,10,0,10,3,0
463537,5,SUV,performance,4400000,7,8,0,8,6,10,0,0
3224079,6,Pickup,efficiency,2850000,10,10,0,10,8,10,0,0
3916070,4,Hatchback,safety,850000,10,6,6,10,0,10,5,1
1474618,6,SUV,performance,3950000,7,8,0,8,6,10,3,0
4712425,6,SUV,luxury,1200000,10,10,0,10,6,10,10,0
2524833,4,SUV,offroad,1300000,10,10,3,10,10,10,10,1
2587111,7,SUV,performance,1550000,10,10,0,10,10,10,3,0
2275716,6,SUV,city,2150000,10,10,0,10,2,10,0,0
1063429,6,SUV,family,1020000,5,8,0,4,6,4,9,0
1614247,4,SUV,safety,4300000,7,8,0,8,10,10,0,0
4339080,5,Sedan,luxury,15000000,10,10,0,10,4,10,0,0
2603252,6,Sedan,city,1220000,10,10,8,10,0,10,10,0
2944164,7,SUV,luxury,1450000,10,10,7,10,6,10,5,0
3466394,4,Sedan,efficiency,7400000,7,8,0,6,4,10,0,0
1151909,5,Coupe SUV,safety,5600000,7,8,0,6,4,9,0,0
3328312,7,SUV,luxury,14200000,10,10,0,10,10,10,0,0
2965606,5,SUV,family,7200000,10,10,0,10,10,10,9,0
1606780,4,Sedan,offroad,18000000,10,10,0,10,0,10,0,0
732496,6,SUV,family,9200000,10,10,0,10,10,10,0,0
3843054,4,SUV,performance,3600000,7,8,0,8,10,10,0,1
1368501,7,SUV,safety,1109000,10,10,0,10,6,10,10,0
3979577,4,Hatchback,city,410000,4,0,10,2,0,8,10,1
4002909,6,Hatchback,performance,590000,9,10,10,10,0,10,10,0
1465724,6,Coupe,luxury,21000000,10,10,0,10,0,10,0,0
3970442,6,Compact SUV,city,750000,10,10,3,10,4,10,10,0
1027701,4,SUV,efficiency,7200000,10,10,0,10,10,10,9,0
1099671,5,SUV,city,1220000,10,10,0,10,6,10,10,0
1327360,5,Compact SUV,performance,750000,10,10,3,10,4,10,10,1
3766546,6,Micro SUV,city,645000,10,10,10,10,4,10,10,0
3765091,6,Hatchback,safety,575000,10,10,10,10,0,10,10,0
2055014,5,SUV,safety,10000000,10,10,0,10,10,10,0,0
3923550,6,SUV,performance,5600000,7,8,0,6,6,10,0,0
3479229,5,SUV,efficiency,7150000,7,8,0,8,10,10,0,0
1436710,4,Sedan,luxury,15000000,10,10,0,10,4,10,0,0
1271561,6,SUV,performance,1120000,10,10,0,10,6,10,10,0
959402,5,Coupe SUV,luxury,1850000,10,10,0,10,4,10,0,0
3758926,5,Off-Road SUV,efficiency,1180000,10,10,3,10,8,10,10,0
4821226,6,Hatchback,luxury,590000,9,10,10,10,0,10,10,0
3355539,6,SUV,safety,10500000,7,8,0,8,10,10,0,0
2823638,4,SUV,family,2050000,7,8,0,8,6,10,3,1
4734088,7,Coupe SUV,efficiency,15500000,7,8,0,8,8,10,0,0
2030861,6,SUV,offroad,1300000,10,10,3,10,10,10,10,0
1192003,5,Hatchback,performance,4600000,3,8,3,4,0,9,3,0
939435,4,Hatchback,performance,560000,7,4,10,8,0,10,10,0
511922,5,SUV,efficiency,1035000,6,10,3,6,2,8,10,0
3593424,5,MPV,performance,13500000,10,10,0,10,4,10,6,0
4974406,4,Crossover,luxury,9500000,10,10,0,10,8,10,0,0
744490,6,Hatchback,safety,750000,6,0,6,10,0,8,0,0
1669754,4,Off-Road SUV,safety,19500000,7,8,0,8,8,10,0,0
924475,7,Hatchback,luxury,4600000,3,8,3,4,0,9,3,0
1450113,6,Hatchback,efficiency,410000,4,0,10,2,0,8,10,0
497005,4,MPV,city,2570000,10,10,10,10,4,10,10,0
1625384,7,Micro SUV,performance,645000,10,10,10,10,4,10,10,0
4563486,6,Hatchback,safety,630000,9,10,6,10,4,8,10,0
2431535,4,SUV,performance,1750000,4,6,0,2,6,1,3,0
1312051,6,Coupe,offroad,7700000,7,8,0,8,0,10,0,0
3325659,4,Sedan,efficiency,7000000,10,10,8,10,0,10,10,0
3899410,5,SUV,offroad,13900000,10,10,0,10,10,10,0,0
869892,5,MPV,family,1205000,10,10,4,10,4,10,10,0
3616478,4,SUV,city,4400000,7,8,0,8,6,10,0,0
4540583,7,SUV,offroad,1220000,10,10,0,10,6,10,10,0
1512485,4,SUV,luxury,6700000,10,10,0,10,10,10,0,0
3870949,6,SUV,offroad,27500000,7,8,0,8,10,10,0,0
3475849,7,SUV,family,2150000,10,10,0,10,2,10,0,0
1007331,6,SUV,efficiency,24000000,7,8,0,8,10,10,0,0
543448,7,SUV,offroad,14000000,10,10,0,10,10,10,5,0
4296849,4,Compact SUV,offroad,850000,10,10,10,10,4,10,10,0
3422411,5,Coupe SUV,family,1850000,10,10,0,10,4,10,0,1
1321360,4,Sedan,safety,21500000,7,8,0,8,4,10,0,0
4999796,4,Hatchback,efficiency,610000,10,10,6,10,4,10,10,1
3830818,4,Sedan,offroad,15000000,10,10,0,10,4,10,0,0
3922099,4,SUV,luxury,14200000,10,10,0,10,10,10,0,0
4921155,4,Crossover,safety,4750000,7,8,0,8,0,10,0,1
2299768,7,Gran Turismo,performance,7850000,10,10,0,10,0,10,3,0
3227509,5,SUV,safety,1035000,6,10,3,6,2,8,10,1
1102384,5,SUV,safety,3950000,7,8,0,8,6,10,3,0
836626,4,Sedan,luxury,970000,10,10,0,10,0,10,10,0
4774756,5,Compact SUV,luxury,5600000,7,8,0,6,4,10,0,0
3810810,4,Hatchback,performance,725000,10,10,10,10,0,10,10,1
1519519,7,Hatchback,city,530000,7,4,6,8,4,6,10,0
4106902,6,Hatchback,performance,685000,10,10,10,10,0,10,10,0
839439,6,SUV,efficiency,3850000,10,10,0,10,6,10,0,0
4066135,4,SUV,family,3750000,10,10,0,10,6,10,9,1
2180840,7,SUV,efficiency,10200000,10,10,0,10,6,10,0,0
1569458,7,SUV,offroad,10000000,10,10,0,10,10,10,0,0
2329418,4,Sedan,performance,30000000,4,8,0,8,4,10,0,0
1190386,5,Sedan,city,5100000,7,8,4,8,0,10,5,0
2635217,7,Sedan,performance,1180000,10,10,0,10,0,10,10,0
2846999,5,SUV,luxury,28500000,10,10,0,10,10,10,0,0
4243651,5,SUV,city,8300000,7,8,0,8,10,10,0,0
3202649,6,SUV,luxury,7150000,7,8,0,8,10,10,0,0
1179484,7,SUV,luxury,3100000,10,10,0,10,6,10,10,0
3579757,4,SUV,efficiency,5950000,10,10,0,10,6,10,9,0
4677630,5,SUV,performance,1950000,10,10,0,10,2,10,6,1
1130045,6,Compact Sedan,luxury,750000,7,10,6,6,0,10,10,0
2461411,4,SUV,performance,9200000,7,8,0,8,10,10,0,0
4276980,5,SUV,family,1120000,10,10,0,10,6,10,10,1
4659799,4,Micro SUV,city,630000,10,10,10,10,4,10,10,1
1150240,7,Sedan,performance,4950000,10,10,0,10,0,10,9,0
4914048,4,SUV,safety,1164000,10,10,10,10,6,10,10,1
1778943,7,SUV,safety,2190000,7,8,0,6,6,9,0,0
3188226,7,SUV,safety,1450000,10,10,0,10,6,10,10,0
4895046,4,MPV,performance,1075000,10,10,0,10,4,10,10,1
3905098,7,Compact SUV,performance,5600000,7,8,0,6,4,10,0,0
2765599,5,Sedan,efficiency,7000000,10,10,8,10,0,10,10,0
519253,4,Sedan,family,970000,10,10,0,10,0,10,10,0
4635355,7,SUV,family,3500000,10,10,0,10,6,10,0,1
4458317,5,Hatchback,performance,410000,4,0,10,2,0,8,10,0
1983883,5,Hatchback,performance,575000,10,10,10,10,0,10,10,1
4332719,4,SUV,family,8300000,7,8,0,8,10,10,0,0
3485548,6,MPV,offroad,545000,3,6,10,0,0,5,10,0
4244745,4,MPV,safety,890000,10,10,8,10,4,10,10,1
2575510,7,SUV,luxury,145000000,7,8,0,8,10,10,0,0
4386284,5,Hatchback,luxury,4600000,3,8,3,4,0,9,3,0
3356977,5,Sedan,efficiency,22000000,7,8,0,8,0,10,3,0
2523784,4,Sedan,offroad,19000000,10,10,0,10,0,10,0,0
1483203,7,Crossover,safety,9500000,10,10,0,10,8,10,0,0
3731632,6,SUV,city,1020000,10,10,0,10,6,10,10,0
1127013,5,SUV,family,3650000,7,8,0,8,6,9,0,0
2761913,7,SUV,performance,5950000,10,10,0,10,6,10,9,0
2518211,4,SUV,performance,8300000,7,8,0,8,10,10,0,0
919893,6,Sedan,offroad,21500000,7,8,0,8,4,10,0,0
1869027,7,SUV,family,9200000,10,10,0,10,10,10,0,0
2124170,5,SUV,family,7150000,7,8,0,8,10,10,0,0
476082,7,SUV,performance,7500000,10,10,0,10,6,10,3,0
628048,6,SUV,family,1120000,10,10,0,10,6,10,10,0
4214560,7,SUV,luxury,10500000,10,10,0,10,10,10,0,0
2288309,4,Sedan,efficiency,6400000,10,10,0,10,0,10,10,0
3397291,7,SUV,luxury,6700000,10,10,0,10,10,10,0,0
3531138,6,SUV,city,1650000,10,10,0,10,6,10,10,0
1762650,4,SUV,efficiency,3650000,7,8,0,8,6,9,0,0
1365567,6,Sedan,luxury,970000,10,10,0,10,0,10,10,0
3940367,6,Compact SUV,family,1180000,5,0,6,6,0,5,0,0
2340244,7,SUV,city,3800000,10,10,0,10,6,10,0,0
470684,7,Sedan,city,5100000,7,8,4,8,0,10,5,0
2989982,6,Sedan,city,6300000,10,10,0,10,0,10,9,0
4300483,5,Sedan,safety,7000000,10,10,8,10,0,10,10,0
1059461,7,SUV,efficiency,4400000,7,8,0,8,6,10,0,0
996519,6,Hatchback,performance,575000,10,10,10,10,0,10,10,0
1561602,4,MPV,luxury,3850000,10,10,0,10,4,10,6,0
4832877,7,Hatchback,offroad,4400000,3,8,3,4,0,9,3,0
2237468,5,Compact Sedan,safety,750000,7,10,6,6,0,10,10,1
4280060,6,Sedan,efficiency,6400000,10,10,0,10,0,10,10,0
1395696,6,Coupe SUV,safety,1100000,10,10,0,10,4,10,10,0
2819255,5,Coupe SUV,family,11800000,10,10,0,10,8,10,0,0
2340302,7,SUV,luxury,4400000,7,8,0,8,6,10,0,0
3572770,6,SUV,safety,7500000,10,10,0,10,6,10,3,0
1098779,4,Compact SUV,performance,625000,10,10,6,10,4,10,10,1
976963,5,SUV,family,1850000,10,10,0,10,6,10,10,0
2086056,5,SUV,efficiency,17500000,7,8,0,8,10,10,0,0
3210335,6,Sedan,city,18000000,10,10,0,10,0,10,3,0
2142114,6,SUV,family,8500000,7,6,0,8,6,10,0,0
3709392,6,SUV,family,820000,10,10,3,10,6,10,10,0
1745518,6,Compact SUV,offroad,1180000,5,0,6,6,0,5,0,0
1754180,6,SUV,safety,6200000,7,6,0,8,2,10,0,0
1424189,5,Compact SUV,performance,875000,10,10,10,10,4,10,10,1
3990293,5,SUV,performance,1020000,10,10,0,10,6,10,10,1
3348693,5,SUV,efficiency,3600000,7,8,0,8,10,10,0,0
3497769,4,SUV,efficiency,1120000,10,10,0,10,6,10,10,1
1471212,5,SUV,efficiency,145000000,7,8,0,8,10,10,0,0
1323013,5,SUV,performance,3500000,10,10,0,10,6,10,0,0
568157,4,Hatchback,safety,5600000,3,6,3,4,0,9,0,0
4839709,4,Crossover,city,770000,10,10,10,10,4,10,10,1
3913950,7,Sedan,efficiency,17500000,10,10,0,10,0,10,0,0
3108295,4,Sedan,offroad,18500000,10,10,0,10,0,10,0,0
3447115,7,SUV,safety,1220000,10,10,0,10,6,10,10,0
3478467,5,Pickup,city,2150000,6,6,0,2,4,9,0,0
1614159,5,Hatchback,offroad,610000,10,10,6,10,4,10,10,0
2212260,7,Sedan,city,1180000,10,10,0,10,0,10,10,0
1322911,4,SUV,efficiency,2050000,7,8,0,8,6,10,3,0
2559035,6,Sedan,family,7000000,10,10,8,10,0,10,10,0
1348201,6,SUV,city,1595000,10,10,4,10,6,10,10,0
3831282,7,Sedan,performance,1220000,10,10,8,10,0,10,10,0
3933213,6,Hatchback,offroad,4400000,3,8,3,4,0,9,3,0
1295542,6,Sedan,performance,4100000,10,10,0,10,0,10,0,0
979892,4,Hatchback,luxury,630000,9,10,6,10,4,8,10,1
424816,5,Crossover,luxury,6400000,10,10,0,10,0,10,0,0
1941394,4,SUV,family,1450000,10,10,0,10,6,10,10,1
3899025,5,Hatchback,luxury,610000,10,10,6,10,4,10,10,1
4929402,5,SUV,performance,5600000,7,8,0,6,6,10,0,0
2157552,4,SUV,performance,2150000,10,10,0,10,2,10,0,1
3078665,5,Micro SUV,safety,630000,10,10,10,10,4,10,10,1
3766802,6,SUV,luxury,1120000,10,10,10,10,6,10,10,0
4389066,6,Crossover,luxury,780000,10,10,10,10,4,10,10,0
586215,5,Hatchback,city,410000,4,0,10,2,0,8,10,1
1114736,7,SUV,offroad,2050000,7,8,0,8,6,10,3,0
691528,5,SUV,performance,9800000,10,10,0,10,10,10,3,0
4601096,6,Sedan,safety,970000,10,10,0,10,0,10,10,0
3470473,4,Coupe SUV,city,1850000,10,10,0,10,4,10,0,0
4106806,7,SUV,performance,6200000,7,6,0,8,2,10,0,0
890779,5,SUV,city,10200000,10,10,0,10,6,10,0,0
3363964,6,SUV,performance,6900000,7,8,0,8,6,10,0,0
2244406,5,SUV,safety,3650000,7,8,0,8,6,9,0,0
3705018,5,SUV,efficiency,20000000,7,8,0,8,10,10,0,0
1601923,4,Compact SUV,safety,1180000,5,0,6,6,0,5,0,0
2690565,5,Sedan,offroad,655000,10,10,10,10,0,10,10,0
4535196,4,Compact SUV,city,850000,10,10,10,10,4,10,10,1
4617238,4,SUV,luxury,1200000,10,10,0,10,6,10,10,1
3156269,5,Off-Road SUV,city,1180000,10,10,3,10,8,10,10,0
1743454,5,SUV,luxury,1599000,10,10,0,10,6,10,10,1
1917104,5,SUV,family,810000,10,10,3,10,6,10,10,1
2542649,4,Coupe,performance,21000000,10,10,0,10,0,10,0,0
2344139,5,Sedan,performance,21500000,7,8,0,8,4,10,0,0
3018799,7,SUV,family,820000,10,10,3,10,6,10,10,0
1868510,7,Sedan,safety,8500000,7,8,0,8,0,10,0,0
1165591,7,Pickup,safety,2850000,10,10,0,10,8,10,0,0
2947571,7,MPV,safety,1070000,10,10,4,10,4,10,10,1
